,place_city,place_region,place_city_en,place_region_area,place_region_pop_2018,place_region_pop_2018_density,place_region_area_perc,place_region_vrp_2016,place_region_pop_2017,place_region_pop_2016,place_region_pop_diff_2017_2016,place_region_pop_diff_n_2017_2016,place_region_pop_diff_m_2017_2016,place_region_wage_2016,place_region_wage_2017,place_region_wage_2018,place_region_wage_diff_2018_2017,place_region_wage_diff_2017_2016,place_is_region_capital,place_region_pop_2017_density,place_region_pop_2016_density,place_region_pop_diff_2018_2017,place_city_lat,place_city_lon
700,Высокая Гора,Республика Татарстан,"VYS.GORA,",67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,55.910181,49.307205
701,Ялуторовск,Тюменская область (без округов),YALUTOROVSK,160122.0,1498779.0,9.4,0.935,927.0,1477903.0,1454626.0,23277.0,6534.0,16743.0,33826.6,35546.5,40175.6,4629.1,1719.9,0,9.2,9.1,20876.0,56.654934,66.312752
702,Яшкуль,Республика Калмыкия,YASHKUL,74731.0,275413.0,3.7,0.436,56.0,277803.0,278733.0,-930.0,747.0,-1677.0,18644.0,20184.9,23634.9,3450.0,1540.9,0,3.7,3.7,-2390.0,46.174168,45.343464
703,Домодедово,Московская область,YUBILEYNYY M,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.444794,37.754272
704,Юрюзань,Челябинская область,YURYUZAN G,88529.0,3493036.0,39.5,0.517,1260.7,3502323.0,3500716.0,1607.0,-1068.0,2675.0,29158.3,29263.7,32959.5,3695.8,105.4,0,39.6,39.5,-9287.0,54.870075,58.427807
705,Южный,Алтайский край,YUZHNYY RP,167996.0,2350080.0,14.0,0.981,498.8,2365680.0,2376774.0,-11094.0,-4622.0,-6472.0,19209.2,20301.8,22546.1,2244.3,1092.6,0,14.1,14.1,-15600.0,53.254749,83.693886
706,Заиграево,Республика Бурятия,ZAIGRAEVO PG,351334.0,984511.0,2.8,2.052,199.2,984134.0,982284.0,1850.0,5063.0,-3213.0,28132.0,28659.9,32318.2,3658.3,527.9,0,2.8,2.8,377.0,51.834293,108.270615
707,Залари,Иркутская область,ZALARI RP,774846.0,2404195.0,3.1,4.525,1068.7,2408901.0,2412800.0,-3899.0,3247.0,-7146.0,32684.1,34262.5,37959.6,3697.1,1578.4,0,3.1,3.1,-4706.0,53.566238,102.515991
708,Заозёрный,Красноярский край,ZAOZERNYJ,2366797.0,2876497.0,1.2,13.821,1767.9,2875301.0,2866490.0,8811.0,3983.0,4828.0,35423.9,37056.3,40617.2,3560.9,1632.4,0,1.2,1.2,1196.0,55.965401,94.708107
709,Зарубино,Приморский край,ZARUBINO,164673.0,1913037.0,11.6,0.962,736.9,1923116.0,1929008.0,-5892.0,-2683.0,-3209.0,33469.3,34856.0,38358.3,3502.3,1386.7,0,11.7,11.7,-10079.0,42.651098,131.062014
710,Засечное,Пензенская область,ZASECHNOE S,43352.0,1331655.0,30.7,0.253,338.6,1341526.0,1348703.0,-7177.0,-5857.0,-1320.0,22693.0,23548.9,24571.2,1022.3,855.9,0,30.9,31.1,-9871.0,53.665957,43.384602
711,Зеленоград,Москва,ZELENOGRAD,2561.0,12506468.0,4883.4,0.015,14299.8,12380664.0,12330126.0,50538.0,21486.0,29052.0,60161.6,61277.5,70250.8,8973.3,1115.9,0,4834.3,4814.6,125804.0,55.996417,37.198462
